id,name,createdAt,updatedAt
af42c281-83b8-491b-98f0-e3f4ce7855b7,DEFENSE HEALTH AGENCY,2018-05-25 13:10:14.088-04,2018-05-25 13:10:14.088-04
f2417820-c489-4636-8a8e-30502919da04,NAVY,2018-05-25 13:13:53.746-04,2018-05-25 13:13:53.746-04
b58452cc-2990-41f2-9076-8d78dfb46fec,ARMY,2018-05-25 13:14:18.546-04,2018-05-25 13:14:18.546-04
5bb902dc-519b-4b26-842e-c9677449c0a1,DEFENSE LOGISTICS AGENCY,2018-05-25 13:14:43.972-04,2018-05-25 13:14:43.972-04
1eb98c97-72db-4723-881b-abd732de4314,AIR FORCE,2018-05-25 13:14:51.841-04,2018-05-25 13:14:51.841-04
78d30128-5824-4030-9af5-ad02743c2ae3,WASHINGTON HEADQUARTERS SERVICES,2018-05-25 13:17:01.828-04,2018-05-25 13:17:01.828-04
9aebe1ce-2919-45a0-893e-bca1469da9ff,DEFENSE INFORMATION SYSTEMS AGENCY,2018-05-25 13:18:33.235-04,2018-05-25 13:18:33.235-04
a2465b38-092f-4261-89bd-d7dc2247624a,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,2018-05-25 13:19:36.909-04,2018-05-25 13:19:36.909-04
25c64b54-9c10-4a1d-8eb4-e7975e809b7d,DEFENSE FINANCE AND ACCOUNTING SERVICE,2018-05-25 13:20:51.866-04,2018-05-25 13:20:51.866-04
57bf9c0f-cd12-4601-9b1e-a544d97d250d,MISSILE DEFENSE AGENCY,2018-05-25 13:21:16.061-04,2018-05-25 13:21:16.061-04
1795c985-b377-4e8c-afce-7e29c32917af,DEFENSE THREAT REDUCTION AGENCY,2018-05-25 13:21:33.66-04,2018-05-25 13:21:33.66-04
7f42bc84-7d7d-45a1-960b-444da586e0ac,DEPARTMENT OF DEFENSE EDUCATION ACTIVITY,2018-05-25 13:39:03.187-04,2018-05-25 13:39:03.187-04
14008a1d-6ad6-4c24-b690-348d714bc87d,DEFENSE INTELLIGENCE AGENCY,2018-05-25 13:39:14.233-04,2018-05-25 13:39:14.233-04
08a041c2-aadc-4d47-82c7-67f496ae3f9d,U.S. TRANSPORTATION COMMAND,2018-05-25 13:40:49.629-04,2018-05-25 13:40:49.629-04
c150c420-4a47-4385-935b-00dfefd531e0,U.S. SPECIAL OPERATIONS COMMAND,2018-05-25 13:41:07.829-04,2018-05-25 13:41:07.829-04
e880b86a-53c3-43a4-9910-c80c9d47d3b3,Michigan,2018-05-25 13:41:50.551-04,2018-05-25 13:41:50.551-04
